collision_vehicles,brake,start_point,collision_other,steer,rep,pos_x,collision_pedestrians,weather,intersection_otherlane,end_point,throttle,pos_y,exp_id,intersection_offroad
0.0,0.0,42,0.0,0.0072105154395103455,0,1.55999755859375,0.0,1,0.0,47,0.9858396053314209,22.440019607543945,0,0.0
0.0,0.0,42,0.0,0.009391792118549347,0,1.55999755859375,0.0,1,0.0,47,0.9862035512924194,22.440019607543945,0,0.0
0.0,0.0,42,0.0,0.011987440288066864,0,1.55999755859375,0.0,1,0.0,47,0.9855459928512573,22.440019607543945,0,0.0
0.0,0.0,42,0.0,0.11509744822978973,0,1.55999755859375,0.0,1,0.0,47,0.9406270980834961,22.440019607543945,0,0.0
0.0,0.0,42,0.0,0.04517696797847748,0,1.55999755859375,0.0,1,0.0,47,0.9531012773513794,22.44001579284668,0,0.0
0.0,0.0,42,0.0,0.02097698301076889,0,1.559786081314087,0.0,1,0.0,47,0.9887983798980713,22.43972396850586,0,0.0
0.0,0.0,42,0.0,0.017718933522701263,0,1.559868335723877,0.0,1,0.0,47,0.9880839586257935,22.439105987548828,0,0.0
0.0,0.0,42,0.0,0.01440882682800293,0,1.5598217248916626,0.0,1,0.0,47,0.9858696460723877,22.43922233581543,0,0.0
0.0,0.0,42,0.0,0.01513747125864029,0,1.5597885847091675,0.0,1,0.0,47,0.9855316877365112,22.43944549560547,0,0.0
0.0,0.0,42,0.0,0.015815578401088715,0,1.5597748756408691,0.0,1,0.0,47,0.9852299690246582,22.43963050842285,0,0.0
0.0,0.0,42,0.0,0.0159144327044487,0,1.5597716569900513,0.0,1,0.0,47,0.9849015474319458,22.439760208129883,0,0.0
0.0,0.0,42,0.0,0.01577325165271759,0,1.5597730875015259,0.0,1,0.0,47,0.9861109256744385,22.43984603881836,0,0.0
0.0,0.0,42,0.0,0.015713416039943695,0,1.5597753524780273,0.0,1,0.0,47,0.9868762493133545,22.439905166625977,0,0.0
0.0,0.0,42,0.0,0.016293831169605255,0,1.5597776174545288,0.0,1,0.0,47,0.9874811172485352,22.43994140625,0,0.0
0.0,0.0,42,0.0,0.016083084046840668,0,1.5597795248031616,0.0,1,0.0,47,0.9873713254928589,22.43996238708496,0,0.0
0.0,0.0,42,0.0,0.016507796943187714,0,1.5597684383392334,0.0,1,0.0,47,0.9877820014953613,22.439970016479492,0,0.0
0.0,0.0,42,0.0,0.01661091297864914,0,1.5597561597824097,0.0,1,0.0,47,0.9880943298339844,22.43997573852539,0,0.0
0.0,0.0,42,0.0,0.016869060695171356,0,1.5597460269927979,0.0,1,0.0,47,0.9880794286727905,22.439979553222656,0,0.0
0.0,0.0,42,0.0,0.016821853816509247,0,1.5597388744354248,0.0,1,0.0,47,0.9879196882247925,22.43998908996582,0,0.0
0.0,0.0,42,0.0,0.0165005624294281,0,1.559735894203186,0.0,1,0.0,47,0.9876574277877808,22.43999481201172,0,0.0
0.0,0.0,42,0.0,0.015951789915561676,0,1.5597326755523682,0.0,1,0.0,47,0.9873089790344238,22.439998626708984,0,0.0
0.0,0.0,42,0.0,0.016623742878437042,0,1.5597296953201294,0.0,1,0.0,47,0.9880324602127075,22.44000244140625,0,0.0
0.0,0.0,42,0.0,0.016465075314044952,0,1.5597275495529175,0.0,1,0.0,47,0.9879646301269531,22.440006256103516,0,0.0
0.0,0.0,42,0.0,0.016704879701137543,0,1.5597267150878906,0.0,1,0.0,47,0.9880331754684448,22.440006256103516,0,0.0
0.0,0.0,42,0.0,0.016776859760284424,0,1.5597258806228638,0.0,1,0.0,47,0.9883531332015991,22.440006256103516,0,0.0
0.0,0.0,42,0.0,0.0076551660895347595,0,1.5603349208831787,0.0,1,0.0,47,0.8337699174880981,22.3787784576416,0,0.0
0.0,0.0,42,0.0,0.012523218989372253,0,1.561441421508789,0.0,1,0.0,47,0.7318576574325562,22.19169807434082,0,0.0
0.0,0.0,42,0.0,0.011407338082790375,0,1.563749074935913,0.0,1,0.0,47,0.5767869353294373,21.897357940673828,0,0.0
0.0,0.0,42,0.0,0.012211732566356659,0,1.5673478841781616,0.0,1,0.0,47,0.5294559001922607,21.509157180786133,0,0.0
0.0,0.0,42,0.0,-0.007533349096775055,0,1.5725512504577637,0.0,1,0.0,47,0.581547200679779,21.043771743774414,0,0.0
0.0,0.0,42,0.0,0.006314106285572052,0,1.5751091241836548,0.0,1,0.0,47,0.9783217906951904,20.522829055786133,0,0.0
0.0,0.0,42,0.0,-0.007746405899524689,0,1.57988703250885,0.0,1,0.0,47,0.5020113587379456,19.963470458984375,0,0.0
0.0,0.0,42,0.0,-0.00931212306022644,0,1.5822978019714355,0.0,1,0.0,47,0.5034539103507996,19.37056541442871,0,0.0
0.0,0.0,42,0.0,-0.01683686673641205,0,1.583069920539856,0.0,1,0.0,47,0.5040756464004517,18.757680892944336,0,0.0
0.0,0.0,42,0.0,-0.013396114110946655,0,1.580419898033142,0.0,1,0.0,47,0.5028940439224243,18.13785171508789,0,0.0
0.0,0.0,42,0.0,-0.011297740042209625,0,1.5761648416519165,0.0,1,0.0,47,0.5045683979988098,17.518810272216797,0,0.0
0.0,0.0,42,0.0,-0.013691060245037079,0,1.5706413984298706,0.0,1,0.0,47,0.5043210983276367,16.90578269958496,0,0.0
0.0,0.0,42,0.0,-0.005657888948917389,0,1.5630552768707275,0.0,1,0.0,47,0.5033233165740967,16.30147933959961,0,0.0
0.0,0.0,42,0.0,0.01820424199104309,0,1.5556458234786987,0.0,1,0.0,47,0.5055032968521118,15.706509590148926,0,0.0
